JobId,Length,LengthP99,Admitted,Deadline,Started,Finished,State,Latency
0,195.35834164177908,236.7547607421875,172.8079685746703,409.5579685746703,179.55966300000728,382.36410200001205,done,202.80443900000478
1,190.8271665320088,236.7547607421875,172.8079685746703,409.5579685746703,179.55966300000728,584.1733420000078,past_due,404.61367900000056
2,187.69896243810595,236.7547607421875,172.8079685746703,409.5579685746703,179.55966300000728,586.0704340000079,past_due,406.5107710000007
3,165.01408822892554,236.7547607421875,172.8079685746703,409.5579685746703,179.55966300000728,790.0666110000084,past_due,610.5069480000011
4,202.08198535452837,236.7547607421875,172.8079685746703,409.5579685746703,179.55966300000728,791.5670240000106,past_due,612.0073610000034
10,174.52716159388982,236.7547607421875,482.66535360677767,719.4153536067777,257.2776999999988,981.3235479999946,past_due,724.0458479999958
11,168.23313810569573,236.7547607421875,482.66535360677767,719.4153536067777,257.2776999999988,981.3635569999974,past_due,724.0858569999986
12,220.74384801558327,236.7547607421875,482.66535360677767,719.4153536067777,257.2776999999988,1201.9252060000015,past_due,944.6475060000026
13,192.26938956455712,236.7547607421875,482.66535360677767,719.4153536067777,257.2776999999988,1202.3103760000026,past_due,945.0326760000038
14,165.7099386023122,236.7547607421875,482.66535360677767,719.4153536067777,257.2776999999988,1203.3244709999976,past_due,946.0467709999988
5,168.55769024471817,236.7547607421875,250.04414161774463,486.79414161774463,492.7149619999982,1398.596778999999,past_due,905.881817000001
6,182.0397059376499,236.7547607421875,250.04414161774463,486.79414161774463,492.7149619999982,1399.578283999998,past_due,906.8633219999996
7,185.22774478466528,236.7547607421875,250.04414161774463,486.79414161774463,492.7149619999982,1398.8099039999938,past_due,906.0949419999956
8,190.6673472958246,236.7547607421875,250.04414161774463,486.79414161774463,492.7149619999982,1622.2559779999956,past_due,1129.5410159999974
9,217.26537838756764,236.7547607421875,250.04414161774463,486.79414161774463,492.7149619999982,1623.3738670000025,past_due,1130.6589050000043
15,162.39887874268757,236.7547607421875,1645.4466911942764,1882.1966911942764,1656.277667000002,1827.2667340000028,done,170.98906700000072
16,172.11347330904397,236.7547607421875,1645.4466911942764,1882.1966911942764,1656.277667000002,2003.7362690000054,past_due,347.4586020000032
17,166.82727544213637,236.7547607421875,1645.4466911942764,1882.1966911942764,1656.277667000002,2003.308969,past_due,347.03130199999777
18,222.71082193422973,236.7547607421875,1645.4466911942764,1882.1966911942764,1656.277667000002,2003.2169180000042,past_due,346.939251000002
19,163.6193919753594,236.7547607421875,1645.4466911942764,1882.1966911942764,1656.277667000002,2229.841241,past_due,573.5635739999979
20,182.72031208024148,236.7547607421875,1668.9555069777311,1905.7055069777311,1680.371951000001,2231.533489000003,past_due,551.1615380000023
21,193.2131132202755,236.7547607421875,1668.9555069777311,1905.7055069777311,1680.371951000001,2231.042296999998,past_due,550.6703459999969
22,166.89636382479227,236.7547607421875,1668.9555069777311,1905.7055069777311,1680.371951000001,2230.935470999998,past_due,550.5635199999972
23,167.60640132930743,236.7547607421875,1668.9555069777311,1905.7055069777311,1680.371951000001,2428.4224520000025,past_due,748.0505010000015
24,176.45629614632014,236.7547607421875,1668.9555069777311,1905.7055069777311,1688.7974689999974,2430.101767,past_due,741.3042980000029
25,224.17223222061529,236.7547607421875,1677.091742585342,1913.841742585342,1680.371951000001,2429.291959,past_due,748.9200079999989
26,166.8477214232597,236.7547607421875,1677.091742585342,1913.841742585342,1688.7974689999974,2430.817713,past_due,742.0202440000025
27,170.7990081541594,236.7547607421875,1677.091742585342,1913.841742585342,1688.7974689999974,2657.028025999996,past_due,968.2305569999984
28,182.7642058572501,236.7547607421875,1677.091742585342,1913.841742585342,1688.7974689999974,2659.0807319999963,past_due,970.2832629999988
29,163.0913053299454,236.7547607421875,1677.091742585342,1913.841742585342,1688.7974689999974,2657.0959399999947,past_due,968.2984709999972
30,183.8121058995439,236.7547607421875,1781.382280917445,2018.132280917445,1797.9826640000028,2659.298372000002,past_due,861.3157079999994
31,167.59388029276454,236.7547607421875,1781.382280917445,2018.132280917445,1797.9826640000028,2846.4241150000053,past_due,1048.4414510000022
32,179.0750849396667,236.7547607421875,1781.382280917445,2018.132280917445,1797.9826640000028,2845.413025000006,past_due,1047.4303610000036
33,179.55397434370516,236.7547607421875,1781.382280917445,2018.132280917445,1797.9826640000028,2846.403947000006,past_due,1048.421283000003
34,166.83140446457034,236.7547607421875,1781.382280917445,2018.132280917445,1797.9826640000028,2846.301113000003,past_due,1048.318449
35,202.90852475335757,236.7547607421875,1924.2083380689417,2160.958338068942,1944.7578710000016,3021.6433690000044,past_due,1076.8854980000028
36,167.6203477464458,236.7547607421875,1924.2083380689417,2160.958338068942,1944.7578710000016,3022.540129000001,past_due,1077.7822579999993
37,168.7818146178252,236.7547607421875,1924.2083380689417,2160.958338068942,1944.7578710000016,3023.035178000002,past_due,1078.2773070000005
38,163.73341669489898,236.7547607421875,1924.2083380689417,2160.958338068942,1944.7578710000016,3023.5905230000044,past_due,1078.8326520000026
39,167.9402387939397,236.7547607421875,1924.2083380689417,2160.958338068942,1944.7578710000016,3226.665376000001,past_due,1281.9075049999994
40,188.78965513078327,236.7547607421875,2257.1171935488574,2493.8671935488574,2279.536326000009,3227.401201000009,past_due,947.8648750000003
41,166.22815391421364,236.7547607421875,2257.1171935488574,2493.8671935488574,2279.536326000009,3228.7269160000096,past_due,949.1905900000008
42,174.84491979327086,236.7547607421875,2257.1171935488574,2493.8671935488574,2279.536326000009,3227.2353420000104,past_due,947.6990160000013
