JobId,Length,LengthP99,Admitted,Deadline,Started,Finished,State,Latency
0,101.21500498506744,126.05224609375,86.40398428733515,212.45398428733515,95.04291199999716,196.12653699999828,done,101.08362500000112
1,98.49629991920528,126.05224609375,86.40398428733515,212.45398428733515,95.04291199999716,307.02155799999576,past_due,211.9786459999986
2,96.61937746286355,126.05224609375,86.40398428733515,212.45398428733515,95.04291199999716,306.94536600000123,past_due,211.90245400000407
3,83.00845293735533,126.05224609375,86.40398428733515,212.45398428733515,95.04291199999716,414.52292599999697,past_due,319.4800139999998
4,105.249191212717,126.05224609375,86.40398428733515,212.45398428733515,95.04291199999716,415.962904999994,past_due,320.91999299999685
10,88.71629695633389,126.05224609375,241.33267680338884,367.3826768033889,134.2453999999998,529.3471540000022,past_due,395.1017540000024
11,84.93988286341744,126.05224609375,241.33267680338884,367.3826768033889,134.2453999999998,529.3963429999972,past_due,395.1509429999973
12,116.44630880935,126.05224609375,241.33267680338884,367.3826768033889,134.2453999999998,648.3223079999996,past_due,514.0769079999998
13,99.36163373873428,126.05224609375,241.33267680338884,367.3826768033889,134.2453999999998,649.3840940000007,past_due,515.1386940000009
14,83.42596316138733,126.05224609375,241.33267680338884,367.3826768033889,134.2453999999998,648.570764000001,past_due,514.3253640000012
5,85.1346141468309,126.05224609375,125.02207080887231,251.0720708088723,251.2264559999967,757.4815279999985,past_due,506.25507200000186
6,93.22382356258991,126.05224609375,125.02207080887231,251.0720708088723,251.2264559999967,757.4372869999938,past_due,506.2108309999971
7,95.13664687079915,126.05224609375,125.02207080887231,251.0720708088723,251.2264559999967,757.3024849999958,past_due,506.0760289999991
8,98.40040837749476,126.05224609375,125.02207080887231,251.0720708088723,251.2264559999967,884.2948759999974,past_due,633.0684200000007
9,114.3592270325406,126.05224609375,125.02207080887231,251.0720708088723,251.2264559999967,884.1459959999999,past_due,632.9195400000032
15,81.43932724561253,126.05224609375,822.7233455971382,948.773345597138,833.4312830000054,1001.1822430000118,past_due,167.75096000000644
16,87.26808398542639,126.05224609375,822.7233455971382,948.773345597138,833.4312830000054,1000.4842470000051,past_due,167.0529639999998
17,84.09636526528182,126.05224609375,822.7233455971382,948.773345597138,833.4312830000054,1000.3774160000087,past_due,166.94613300000327
18,117.62649316053783,126.05224609375,822.7233455971382,948.773345597138,833.4312830000054,1119.8355050000068,past_due,286.4042220000016
19,82.17163518521565,126.05224609375,822.7233455971382,948.773345597138,833.4312830000054,1121.3237480000041,past_due,287.89246499999877
20,93.63218724814487,126.05224609375,834.4777534888656,960.5277534888656,845.4743929999968,1120.8148999999996,past_due,275.3405070000028
21,99.92786793216528,126.05224609375,834.4777534888656,960.5277534888656,845.4743929999968,1231.4233159999976,past_due,385.94892300000083
22,84.13781829487537,126.05224609375,834.4777534888656,960.5277534888656,845.4743929999968,1232.4307729999978,past_due,386.9563800000009
23,84.56384079758446,126.05224609375,834.4777534888656,960.5277534888656,845.4743929999968,1230.9232939999933,past_due,385.4489009999966
24,89.8737776877921,126.05224609375,834.4777534888656,960.5277534888656,845.4743929999968,1232.112078999997,past_due,386.63768600000026
25,118.50333933236917,126.05224609375,838.545871292671,964.595871292671,849.7871100000048,1341.4883810000083,past_due,491.70127100000366
26,84.10863285395584,126.05224609375,838.545871292671,964.595871292671,849.7871100000048,1345.1827840000055,past_due,495.3956740000009
27,86.47940489249562,126.05224609375,838.545871292671,964.595871292671,849.7871100000048,1344.982589000008,past_due,495.19547900000305
28,93.65852351435004,126.05224609375,838.545871292671,964.595871292671,849.7871100000048,1344.950862000001,past_due,495.1637519999963
29,81.85478319796725,126.05224609375,838.545871292671,964.595871292671,905.364109000002,1464.0468259999984,past_due,558.6827169999964
30,94.28726353972634,126.05224609375,890.6911404587225,1016.7411404587224,849.7871100000048,1463.4173440000034,past_due,613.6302339999986
31,84.55632817565872,126.05224609375,890.6911404587225,1016.7411404587224,905.364109000002,1464.3616100000024,past_due,558.9975010000004
32,91.44505096380004,126.05224609375,890.6911404587225,1016.7411404587224,905.364109000002,1464.3765970000027,past_due,559.0124880000005
33,91.73238460622308,126.05224609375,890.6911404587225,1016.7411404587224,905.364109000002,1568.031332999998,past_due,662.6672239999962
34,84.0988426787422,126.05224609375,890.6911404587225,1016.7411404587224,978.2810199999948,1569.7677139999987,past_due,591.4866940000038
35,105.74511485201452,126.05224609375,962.1041690344708,1088.154169034471,978.2810199999948,1569.1690959999937,past_due,590.8880759999988
36,84.57220864786747,126.05224609375,962.1041690344708,1088.154169034471,905.364109000002,1569.1558510000027,past_due,663.7917420000008
37,85.26908877069512,126.05224609375,962.1041690344708,1088.154169034471,978.2810199999948,1689.2011439999924,past_due,710.9201239999976
38,82.24005001693938,126.05224609375,962.1041690344708,1088.154169034471,1148.679182,1691.6056539999977,past_due,542.9264719999977
39,84.76414327636381,126.05224609375,962.1041690344708,1088.154169034471,978.2810199999948,1690.4749389999954,past_due,712.1939190000006
40,97.27379307846996,126.05224609375,1128.558596774429,1254.6085967744286,978.2810199999948,1690.334158999993,past_due,712.0531389999982
41,83.73689234852817,126.05224609375,1128.558596774429,1254.6085967744286,1148.679182,1798.0715299999993,past_due,649.3923479999992
42,88.90695187596252,126.05224609375,1128.558596774429,1254.6085967744286,1148.679182,1798.1716099999949,past_due,649.4924279999949
43,88.19228390335056,126.05224609375,1128.558596774429,1254.6085967744286,1148.679182,1797.56504,past_due,648.8858579999999
44,100.31545008003545,126.05224609375,1128.558596774429,1254.6085967744286,1342.0927480000028,1799.8912710000036,past_due,457.79852300000096
