JobId,Admitted,Deadline,Started,Finished,State,Latency
0,4147.391245792087,16147.391245792089,4154.295196950436,11761.755234930199,done,7607.460037979763
1,6001.059398825871,18001.05939882587,6010.616961956024,15232.415874985512,done,9221.798913029488
2,11583.968486562664,23583.968486562662,11599.84165096283,15232.851530929096,done,3633.0098799662665
3,39490.72058866263,51490.72058866263,39519.49846595526,43382.10055897944,done,3862.6020930241793
4,40054.93216746554,52054.93216746554,40084.664191007614,50511.83546602726,done,10427.171275019646
5,40250.201822048206,52250.201822048206,40280.58869099617,50512.23869999079,done,10231.65000899462
6,42753.17474201868,54753.17474201868,42786.79325199127,51240.86161796376,done,8454.06836597249
7,46181.0001136546,58181.0001136546,46218.54909396172,53201.33758193954,done,6982.788487977814
8,54170.81264517258,66170.81264517258,54210.9774799943,60059.71016799286,done,5848.732687998563
9,63412.46714118925,75412.46714118925,63456.73469096422,68109.64995998424,done,4652.9152690200135
10,64135.12188839783,76135.12188839783,64181.12856596708,69845.0509299757,done,5663.922364008613
11,73706.83826507679,85706.83826507679,73754.74791496992,78048.02963097347,done,4293.281716003548
12,87506.60889551492,99506.60889551492,87559.9811809659,92511.23304493353,done,4951.251863967627
13,87799.00791242631,99799.00791242631,87853.72877293825,95460.35189790977,done,7606.62312497152
14,93804.88643556864,105804.88643556864,93861.36719298364,101728.18216797012,done,7866.814974986482
15,118054.9254448687,130054.9254448687,118121.26633995771,123119.9178109467,done,4998.651470988989
16,159109.50360934486,171109.50360934486,159197.62167298794,164710.15608798806,done,5512.534415000118
17,159913.3750766173,171913.3750766173,160002.79164594412,165316.8003239627,done,5314.008678018581
18,182018.80513386303,194018.80513386303,182111.2233529091,187513.44667492574,done,5402.223322016653
19,183347.80368248632,195347.80368248632,183441.88978999853,189423.24547300348,done,5981.355683004949
20,202576.25486957937,214576.25486957937,202678.93691194055,209156.80898594015,done,6477.872073999606
21,207828.71033015635,219828.71033015635,207936.6951059699,214163.78134197183,done,6227.086236001924
22,209139.74304185843,221139.74304185843,209248.26433897016,217573.94727695265,done,8325.682937982492
23,213504.2324487244,225504.2324487244,213617.53248292208,218989.81096790358,done,5372.278484981507
24,235985.3858960212,247985.3858960212,236110.939062953,240730.56784498785,done,4619.628782034852
25,242204.1687322496,254204.1687322496,242331.54815894365,248818.59673896385,done,6487.0485800202005
26,245767.35578695376,257767.35578695376,245899.00965291265,251625.65761287653,done,5726.647959963884
27,251755.0293352953,263755.0293352953,251887.156167984,263887.7030960135,past_due,
28,254593.27346815157,266593.2734681516,254726.6831079125,265709.71680695424,done,10983.033699041698
29,258162.14886823844,270162.14886823844,258299.5815809369,268342.914956938,done,10043.3333760011
30,260939.9969713668,272939.9969713668,261081.10971194503,269766.288868953,done,8685.179157007951
31,265804.3851716063,277804.3851716063,265947.2056389451,270937.4384979266,done,4990.232858981472
32,272040.98873796314,284040.98873796314,272185.97468197346,274672.9170619417,done,2486.942379968241
33,275572.8868821154,287572.8868821154,275720.53211796284,278569.13275996177,done,2848.600641998928
34,289467.13293323835,301467.13293323835,289621.5625559092,291108.3058159096,done,1486.7432600003667
35,304080.33989374904,316080.33989374904,304244.8887869716,305462.7204969759,done,1217.8317100042475
36,311392.81880889187,323392.81880889187,311558.2431039214,313006.76215092186,done,1448.5190470004454
37,320950.78477147565,332950.78477147565,321120.0401759744,321977.2443969888,done,857.2042210143991
38,329779.0772053596,341779.0772053596,329951.43897396326,332458.7883569328,done,2507.349382969551
39,333593.74400893395,345593.74400893395,333768.3504989743,335771.9661509525,done,2003.61565197818
40,348195.1149580951,360195.1149580951,348370.8325419426,349382.71514697373,done,1011.8826050311328
41,348633.94208359777,360633.94208359777,348810.6286869645,350319.22718101693,done,1508.5984940524213
42,364698.42212849966,376698.42212849966,364885.5766989589,368780.99315197393,done,3895.4164530150592
43,365185.3734951617,377185.3734951617,365374.3505599499,370126.9022869468,done,4752.551726996899
44,372897.78196514567,384897.78196514567,373090.2649059892,376918.21126702713,done,3827.946361037903
45,387147.9841249639,399147.9841249639,387345.8471589685,388460.55590196844,done,1114.7087429999374
46,400381.1232877741,412381.1232877741,400586.5509059429,401592.935306943,done,1006.3844010001048
47,405697.8111590664,417697.8111590664,405906.0534129739,407403.18112596916,done,1497.1277129952796
48,431766.6386684346,443766.6386684346,431987.9635839462,432912.84214092605,done,924.87855697982
49,437318.1707184636,449318.1707184636,437545.05108594894,442758.5655499832,done,5213.514464034233
50,460633.7580152249,472633.7580152249,460873.8060839772,463726.25550796,done,2852.449423982762
51,471527.4926737881,483527.4926737881,471770.8366149664,472512.9151449865,done,742.0785300200805
52,486389.25133000495,498389.25133000495,486641.3970349431,489929.0484749554,done,3287.6514400122687
53,513188.7031159429,525188.7031159429,513449.5461809039,515354.2484389092,done,1904.7022580052728
54,517479.5400639887,529479.5400639887,517743.1638449431,521570.89288197464,done,3827.7290370315313
55,530548.8641789277,542548.8641789277,530818.0545429587,532522.1793029578,done,1704.1247599991038
56,531452.8308448937,543452.8308448937,531723.4713469148,534677.8860159316,done,2954.414669016842
57,540450.3598374873,552450.3598374873,540722.2906989455,542886.6277279276,done,2164.3370289821178
58,545339.3105998832,557339.3105998832,545614.9702459574,547420.3797489521,done,1805.4095029947348
59,586569.8864449607,598569.8864449607,586869.4712309241,588128.8249519146,done,1259.3537209904753
60,597536.5785211595,609536.5785211595,597841.9554159641,599147.5055799251,done,1305.5501639610156
61,606773.4475150543,618773.4475150543,607082.7125189304,609118.9769619438,done,2036.2644430133516
62,607998.6270412833,619998.6270412833,608309.5303279161,609941.4462809265,done,1631.915953010321
63,616562.8624289425,628562.8624289425,616876.7095859051,618740.6041359184,done,1863.894550013356
64,643641.9034928503,655641.9034928503,643966.4597569704,646543.8731209929,done,2577.4133640225045
65,656234.1535043321,668234.1535043321,656564.3510069847,658271.4296839465,done,1707.078676961828
66,667368.4585625461,679368.4585625461,667704.1933409572,670857.1651889295,done,3152.971847972367
67,668243.4432811458,680243.4432811458,668580.4795479178,675841.3534339177,done,7260.873885999899
68,669902.9653534197,681902.9653534197,670243.7999589443,675841.7224779683,done,5597.922519023996
69,685645.425583284,697645.425583284,685991.9484279752,687061.7140829498,done,1069.765654974617
70,689614.7401306948,701614.7401306948,689965.2062709332,692683.6167059494,done,2718.410435016267
71,717115.5267267287,729115.5267267287,717474.1635229588,720830.6880699969,done,3356.524547038134
72,733755.9320805493,745755.9320805493,734124.4323399663,735176.437735958,done,1052.0053959917277
73,739142.53300959,751142.53300959,739515.5436339378,740507.0634459667,done,991.5198120288552
74,741691.5930630484,753691.5930630484,742067.1931699514,744507.7560799443,done,2440.5629099928774
75,746620.3811962656,758620.3811962656,746998.8348889351,749379.3932749727,done,2380.558386037592
76,748744.9051077167,760744.9051077167,749126.6450949907,750291.775809993,done,1165.1307150023058
77,751804.4701743858,763804.4701743858,752186.6009149551,753291.8576949476,done,1105.2567799924873
78,752687.2092357692,764687.2092357692,753071.1852679849,754948.1627099919,done,1876.9774420070464
79,754773.9618497845,766773.9618497845,755158.9927969575,759170.5206329892,done,4011.527836031746
80,780715.74426998,792715.74426998,781114.1694279909,781984.5046949745,done,870.3352669836022
81,791322.9327573666,803322.9327573666,791726.7191709876,792869.9057509699,done,1143.1865799822845
82,823784.0471976793,835784.0471976793,824199.8848749399,828207.9393218928,done,4008.054446952883
83,827988.8172094199,839988.8172094199,828405.5957009196,829610.072318953,done,1204.476618033368
84,835932.8289279932,847932.8289279932,836350.8967449665,837663.1009019688,done,1312.2041570022702
85,838390.6149358642,850390.6149358642,838811.7321389318,840075.4753329265,done,1263.743193994742
86,842075.6716993061,854075.6716993061,842500.3594629765,843996.5284479498,done,1496.1689849733375
87,865191.191226202,877191.191226202,865622.1570689678,867167.556882997,done,1545.3998140292242
88,868233.8386723395,880233.8386723395,868666.574205935,871460.4352509715,done,2793.861045036465
89,868622.5404560937,880622.5404560937,869056.6085509658,874888.9007809507,done,5832.292229984887
90,869133.3884935512,881133.3884935512,869568.686768949,874889.3791779536,done,5320.69240900455
91,873256.3543617621,885256.3543617621,873694.3762849569,878919.5998639935,done,5225.223579036538
92,877009.7729197599,889009.7729197599,877451.5401879549,880511.6131860055,done,3060.0729980506003
93,922757.0064297172,934757.0064297172,923223.1710439324,925146.5140049355,done,1923.3429610030728
94,929474.2410706028,941474.2410706028,929946.96013695,932783.3641929473,done,2836.404055997264
95,944158.3034766288,956158.3034766288,944635.8718829156,947887.979488894,done,3252.107605978381
96,993874.9769225216,1005874.9769225216,994384.1892309188,996154.4805698845,done,1770.2913389657624
97,1022453.1051851948,1034453.1051851948,1022975.0177749397,1025402.4995509266,done,2427.481775986962
98,1023537.3151253036,1035537.3151253036,1024061.530039966,1028529.53867396,done,4468.008633994032
99,1057777.0235689732,1069777.0235689732,1058319.8880869746,1059692.946862007,done,1373.0587750324048
100,1072346.6717567437,1084346.6717567437,1072899.6839989424,1074967.9871239215,done,2068.3031249791384
101,1079278.6002398562,1091278.6002398562,1079836.751011908,1081146.150216877,done,1309.3992049689405
102,1089510.7372855165,1101510.7372855165,1090073.4913249612,1090716.5611109808,done,643.0697860196233
103,1093801.8550538966,1105801.8550538966,1094368.100374997,1096793.285322028,done,2425.1849470310844
104,1095297.619404463,1107297.619404463,1095866.2543139458,1097678.137473917,done,1811.8831599713303
105,1103428.462559518,1115428.462559518,1103999.6191949844,1105568.3783699437,done,1568.7591749592684
106,1116012.7264616936,1128012.7264616936,1116590.9324089885,1119774.246079964,done,3183.313670975622
107,1121241.3433485932,1133241.3433485932,1121821.816487968,1124673.2606540052,done,2851.444166037254
108,1121927.835177944,1133927.835177944,1122509.6276209354,1129077.2808769383,done,6567.653256002814
109,1126346.072168263,1138346.072168263,1126931.0682019591,1131768.3086209605,done,4837.240419001319
110,1135252.3827924922,1147252.3827924922,1135839.3834359646,1137170.0018619937,done,1330.6184260291047
111,1141808.1196010471,1153808.1196010471,1142395.665911913,1143946.708950926,done,1551.043039013166
112,1167715.1086034193,1179715.1086034193,1168315.836519003,1170127.8439119924,done,1812.007392989472
113,1181720.6180610703,1193720.6180610703,1182329.4339829087,1185508.461459897,done,3179.027476988267
114,1184696.8239445006,1196696.8239445006,1185306.2628869414,1188102.8523469325,done,2796.5894599910825
115,1188665.5692716052,1200665.5692716052,1189276.6061449647,1190878.0675979787,done,1601.4614530140534
116,1222059.7137729174,1234059.7137729174,1222692.6716829538,1226334.8814549162,done,3642.2097719623703
117,1224041.0531609892,1236041.0531609892,1224677.1775939465,1228300.251205937,done,3623.0736119905487
118,1231938.8172657308,1243938.8172657308,1232576.441542983,1235907.6464040363,done,3331.2048610532656
119,1239525.681031559,1251525.681031559,1240166.905790925,1241682.198228905,done,1515.2924379799515
120,1254843.3767103103,1266843.3767103103,1255494.45103395,1257232.4898079478,done,1738.0387739976868
121,1266600.5806103072,1278600.5806103072,1267257.952813983,1269512.005919001,done,2254.0531050181016
122,1273217.1305489896,1285217.1305489896,1273880.029726982,1275713.3151619683,done,1833.285434986465
123,1293909.232504027,1305909.232504027,1294576.7944359183,1296294.439723956,done,1717.645288037602
124,1298825.5926761385,1310825.5926761385,1299498.3266519308,1300526.9616059419,done,1028.6349540110675
125,1312726.458514164,1324726.458514164,1313401.4709259868,1315905.4103799649,done,2503.9394539780915
126,1314540.3284457426,1326540.3284457426,1315217.78361094,1317762.533388937,done,2544.7497779969126
127,1315377.360219031,1327377.360219031,1316056.230891943,1321414.739122945,done,5358.508231001906
128,1317872.966472103,1329872.966472103,1318552.971446991,1322930.9069469916,done,4377.935500000604
129,1321691.1404999397,1333691.1404999397,1322374.2257779837,1323535.2466400387,done,1161.020862055011
130,1337157.4863931253,1349157.4863931253,1337848.3194919229,1339344.3700638874,done,1496.050571964588
131,1344279.9985028105,1356279.9985028105,1344972.5890019536,1348972.8418599325,done,4000.2528579789214
132,1351261.265700563,1363261.265700563,1351957.436912954,1353681.0999069412,done,1723.6629939870909
133,1357491.8758340084,1369491.8758340084,1358191.5022649765,1360367.9898929978,done,2176.487628021277
134,1369553.51008707,1381553.51008707,1370258.3776849508,1371680.4348049639,done,1422.0571200130507
135,1398971.612250961,1410971.612250961,1399690.0613939762,1401231.7874579714,done,1541.7260639951564
136,1400930.1645210567,1412930.1645210567,1401649.74989295,1404072.7646509302,done,2423.014757980127
137,1410098.9190316123,1422098.9190316123,1410820.973322928,1413445.189890944,done,2624.216568015981
138,1468034.269504616,1480034.269504616,1468793.181397915,1469656.0039069364,done,862.8225090214983
139,1477004.4560826025,1489004.4560826025,1477767.3536689878,1479428.2385699959,done,1660.884901008103
140,1478150.8744377785,1490150.8744377785,1478916.0716499686,1482433.5379489716,done,3517.46629900299
141,1480164.7582455373,1492164.7582455373,1480102.3584950285,,past_due,
